,Unnamed: 0.1,Unnamed: 0,Time / s,Vo:Measured voltage,IL:Measured current,Vin:Measured voltage,open1:Output,open3:Output,open2:Output,open4:Output,short1:Output,short2:Output,short3:Output,short4:Output,OPEN,SHORT
182,182,182,1.1014199999999998,389.9326254897791,5.529790023608961,134.23761810136654,0,0,0,0,0,0,0,1,0,1
183,183,183,1.10144,389.8420582883592,5.613782215147662,135.998510015472,0,0,0,0,0,0,0,1,0,1
184,184,184,1.10146,389.7534457688325,5.692425453117252,137.7540329412529,0,0,0,0,0,0,0,1,0,1
185,185,185,1.10148,389.6664096774507,5.765544721762448,139.50411757370176,0,0,0,0,0,0,0,1,0,1
186,186,186,1.1015,389.5811395180903,5.832971978615219,141.24869482244236,0,0,0,0,0,0,0,1,0,1
187,187,187,1.10152,389.4972372116002,5.894528863401056,142.98769581458362,0,0,0,0,0,0,0,1,0,1
188,188,188,1.10154,389.4143561217096,6.0149403464334,144.72105189731255,0,0,0,0,0,0,0,1,0,1
189,189,189,1.10156,389.3343857620864,6.064223706607461,146.4486946407147,0,0,0,0,0,0,0,1,0,1
190,190,190,1.10158,389.2559951408673,6.107094588860493,148.17055584042845,0,0,0,0,0,0,0,1,0,1
191,191,191,1.1016,389.17874950864,6.143364633023909,149.88656752029064,0,0,0,0,0,0,0,1,0,1
192,192,192,1.10162,389.10228190553545,6.237697211010068,151.59666193512956,0,0,0,0,0,0,0,1,0,1
193,193,193,1.10164,389.0272592388882,6.389867895002857,153.30077157331488,0,0,0,0,0,0,0,1,0,1
194,194,194,1.10166,388.9563897138908,6.4051855229771135,154.9988291595315,0,0,0,0,0,0,0,1,0,1
195,195,195,1.10168,388.8863788831037,6.413114611527136,156.69076765738873,0,0,0,0,0,0,0,1,0,1
196,196,196,1.1017,388.8168342300459,6.478262414023261,158.37652027202114,0,0,0,0,0,0,0,1,0,1
197,197,197,1.10172,388.7484476400569,6.600399370511044,160.05602045283248,0,0,0,0,0,0,0,1,0,1
198,198,198,1.10174,388.68280567392526,6.71451358345856,161.72920189600094,0,0,0,0,0,0,0,1,0,1
199,199,199,1.10176,388.62017100095466,6.7556145314477805,163.39599854720333,0,0,0,0,0,0,0,1,0,1
200,200,200,1.10178,388.5587522570997,6.78826082218314,165.05634460417693,0,0,0,0,0,0,0,1,0,1
201,201,201,1.1017998055613845,388.5587522570997,6.78826082218314,165.05634460417693,0,0,0,0,0,0,0,1,0,1
